file	target	outcome	internal_error	public_error
accept-valid-clienthello.bin	clienthello	accept	-	-
accept-grease-cross-layer-clienthello.bin	clienthello	accept	-	-
reject-handshake-underdeclared.bin	clienthello	reject	unexpectedEof	truncated
reject-handshake-final-residue.bin	clienthello	reject	trailingBytes	trailingBytes
reject-semantic-unknown-suite.bin	clienthello	reject	valueOutOfRange	valueOutOfRange
reject-extension-count-budget.bin	clienthello	reject	budgetExceeded	oversizedRecord
accept-supported-versions-grease.bin	supported_versions	accept	-	-
reject-supported-versions-odd.bin	supported_versions	reject	unexpectedEof	truncated
accept-supported-groups-grease.bin	supported_groups	accept	-	-
reject-signature-algorithms-empty.bin	signature_algorithms	reject	valueOutOfRange	valueOutOfRange
accept-keyshare-grease.bin	key_share	accept	-	-
reject-keyshare-empty-unknown.bin	key_share	reject	valueOutOfRange	valueOutOfRange
accept-sni-mixed-known-unknown.bin	sni	accept	-	-
reject-sni-empty-list.bin	sni	reject	valueOutOfRange	valueOutOfRange
reject-sni-empty-name.bin	sni	reject	valueOutOfRange	valueOutOfRange
reject-sni-control-default-route.bin	sni	reject	valueOutOfRange	valueOutOfRange
reject-sni-reserved-ldh.bin	sni	reject	valueOutOfRange	valueOutOfRange
accept-sni-label-63.bin	sni	accept	-	-
reject-sni-label-64.bin	sni	reject	valueOutOfRange	valueOutOfRange
accept-sni-name-253.bin	sni	accept	-	-
reject-sni-name-254.bin	sni	reject	valueOutOfRange	valueOutOfRange
accept-alpn-opaque-order.bin	alpn	accept	-	-
reject-alpn-inner-residue.bin	alpn	reject	unexpectedEof	truncated
